Type,Brand,Make,ModelYear,Price,Color,FuelType,Mileage,Mass,Cylinders,GasTankCapacity,StartType
Truck,Toyota,Takuma,2000,100000.00,WHITE,DIESEL,50000.00,2.00,12,25.00,KEYSTART
MotorBike,BMW,G310,2014,35000.00,BLACK,GASOLINE,3000.00,0.10,4,10.00,KICKSTART
Car,Nissan,Sentra,2018,18000.00,RED,GASOLINE,1000.00,0.30,6,14.00,PUSHSTART
SUV,Nissan,Pathfinder,2023,32000.00,YELLOW,GASOLINE,6000.00,0.50,8,20.00,PUSHSTART
Car,Honda,Civic,2024,18000.00,GRAY,ELECTRIC,50000.00,0.25,6,14.00,PUSHSTART
SUV,Honda,Pilot,2015,35000.00,BLACK,HYBRID,93500.00,0.45,6,14.00,PUSHSTART
MotorBike,Yamaha,R15,2020,16000.00,BLUE,GASOLINE,1200.00,0.10,4,20.00,KICKSTART
Truck,Volvo,VNL300,2022,120000.00,WHITE,DIESEL,18000.00,5.00,16,50.00,KEYSTART
SUV,Toyota,Highlander,2023,38000.00,BROWN,DIESEL,15000.00,0.50,6,20.00,PUSHSTART
SUV,Nissan,Armada,2018,35000.00,WHITE,GASOLINE,24000.00,0.40,6,20.00,PUSHSTART
Car,Toyota,Camry,2023,18000.00,WHITE,GASOLINE,100.00,0.25,6,16.00,PUSHSTART
Truck,Ford,F-150,2019,35000.00,RED,DIESEL,20.00,2000.00,6,20.00,PUSHSTART
Truck,Ford,F-150,2019,35000.00,RED,DIESEL,20.00,2000.00,6,20.00,PUSHSTART
